"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"ACG","2021","0001","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",132.8,true,true,
"ACG","2021","0001","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",249,false,true,
"ACG","2021","0001","Target Packet - Paterson","//bkstr.scene7.com/is/image/Bkstr/14914741","N/A",,"ACG 2021","TARGET PRINT AND MAIL (TLH)",33,false,true,
"ACG","2021","0010","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",132.8,true,true,
"ACG","2021","0010","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",249,false,true,
"ACG","2021","0010","Target Packet - Paterson","//bkstr.scene7.com/is/image/Bkstr/14914741","N/A",,"ACG 2021","TARGET PRINT AND MAIL (TLH)",33,false,true,
"ACG","2021","0011","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",132.8,true,true,
"ACG","2021","0011","Kimmel","//bkstr.scene7.com/is/image/Bkstr/9781118162286","7th","9781118162286","Financial Accounting (w/out Access)","John Wiley & Sons, Incorporated",249,false,true,
"ACG","2021","0011","Target Packet - Paterson","//bkstr.scene7.com/is/image/Bkstr/14914741","N/A",,"ACG 2021","TARGET PRINT AND MAIL (TLH)",33,false,true,
"ACG","2071","0001","Garrison","//bkstr.scene7.com/is/image/Bkstr/9781259995385","16th","9781260940558","ACG 2071 IA: FOLLETT DPF ECOMM Connect for Managerial Accounting 180 DAYS ACCESS ENTRP","McGraw-Hill Higher Education",112.25,true,false,"180"
"ACG","2071","0002","Garrison","//bkstr.scene7.com/is/image/Bkstr/9781259995385","16th","9781260940558","ACG 2071 IA: FOLLETT DPF ECOMM Connect for Managerial Accounting 180 DAYS ACCESS ENTRP","McGraw-Hill Higher Education",112.25,true,false,"180"
"ACG","2071","0003","Garrison","//bkstr.scene7.com/is/image/Bkstr/9781259995385","16th","9781260940558","ACG 2071 IA: FOLLETT DPF ECOMM Connect for Managerial Accounting 180 DAYS ACCESS ENTRP","McGraw-Hill Higher Education",112.25,true,false,"180"
"ACG","3101","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",61.5,true,false,"180"
"ACG","3101","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",77.5,true,false,"360"
"ACG","3101","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260481976","Intermediate Accounting","McGraw-Hill",100,true,false,
"ACG","3101","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",61.5,true,false,"180"
"ACG","3101","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",77.5,true,false,"360"
"ACG","3101","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260481976","Intermediate Accounting","McGraw-Hill",100,true,false,
"ACG","3101","0003","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0003","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0003","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",61.5,true,false,"180"
"ACG","3101","0003","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",77.5,true,false,"360"
"ACG","3101","0003","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260481976","Intermediate Accounting","McGraw-Hill",100,true,false,
"ACG","3101","0004","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0004","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0004","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",61.5,true,false,"180"
"ACG","3101","0004","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",77.5,true,false,"360"
"ACG","3101","0004","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260481976","Intermediate Accounting","McGraw-Hill",100,true,false,
"ACG","3101","0005","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0005","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260310177","Intermediate Accounting  (RRMCG)","McGraw-Hill Publisher Rental",70,true,true,
"ACG","3101","0005","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",61.5,true,false,"180"
"ACG","3101","0005","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260481952","10th","9781260481976","Intermediate Accounting","McGraw-Hill",77.5,true,false,"360"
"ACG","3101","0005","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781260310177","10th","9781260481976","Intermediate Accounting","McGraw-Hill",100,true,false,
"ACG","3111","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",362,false,true,
"ACG","3111","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",289.6,true,true,
"ACG","3111","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",144.8,true,true,
"ACG","3111","0001","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",271.5,false,true,
"ACG","3111","0001","Thomas","//bkstr.scene7.com/is/image/Bkstr/9781260029901","9th","9781260029932","Intermediate Accounting","McGraw-Hill",50.75,true,false,"180"
"ACG","3111","0001","Thomas","//bkstr.scene7.com/is/image/Bkstr/9781260029901","9th","9781260029932","Intermediate Accounting","McGraw-Hill",66.75,true,false,"360"
"ACG","3111","0001","Thomas","//bkstr.scene7.com/is/image/Bkstr/9781260029901","9th","9781260029932","Intermediate Accounting","McGraw-Hill",77.5,true,false,
"ACG","3111","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",362,false,true,
"ACG","3111","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",289.6,true,true,
"ACG","3111","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",144.8,true,true,
"ACG","3111","0002","Spiceland","//bkstr.scene7.com/is/image/Bkstr/9781259722660","9th","9781259722660","Intermediate Accounting (TEXT ONLY)","McGraw-Hill",271.5,false,true,
